RUN,ARR,A1,A2,A3,B,P
100,1800008648,1958778483,380819337,762275670,1095299111,2014861934
101,1029089988,1950604870,1785229295,1785726996,310620539,57574072
102,1758571991,1752531413,1724720178,1888655733,2014871858,1777760513
103,147495298,1456426342,750309351,1645342852,1082106192,741132466
104,837239953,2020782686,441713140,888338895,581743374,1467275324
105,915018370,1588560865,531981040,105710687,1055945659,1237546147
106,1555570421,1612577079,944415752,1948469193,996391925,1346195187
107,26591089,1824937897,591734720,2011741548,1963668575,1518563808
108,1530719860,2079712065,2041578564,929976982,1652148581,1146453869
109,908519731,1243117831,817123631,59387894,2110321399,1769616134
110,1392379714,2085686982,1556573244,1853340148,2006420652,668836436
111,1765474335,2109791733,2035167478,2132202075,1857280008,2059052313
112,470577237,1059864606,2049799486,416052896,1037764473,885596713
113,1299272908,832283535,1550146246,543298994,1871768497,1971152878
114,2090115080,1200146338,1158979192,930295916,373775943,263235998
115,1015806973,1923913482,1965893551,1017840733,1588979370,414386754
116,524281732,1650517179,1007026833,640941275,495616601,1822989256
117,1656189124,564570049,1827745246,1506327933,1030820265,1496303953
118,1531477735,887700928,438811017,929162177,152613132,1776788622
119,984681857,1818024547,469497645,45472861,935769630,2075799805
120,1322360196,1009642702,1258853238,1325232764,509960591,1804375334
121,1992581335,1520648729,1932472884,1500711737,1128545785,1380498812
122,248556302,2136013336,1296593260,1079327373,273445291,998083782
123,70118053,490631287,1963928690,1070558895,1119549959,1885756354
124,234308691,1942654345,1739157944,14475998,1149772512,1130969443
125,1665938159,2065046364,648751255,1298265400,758431227,898821462
126,1828227527,944935189,1527899700,1642339930,959596046,10344551
127,1677965999,750138023,1966636231,863910557,1055326591,1542243500
128,456023830,1719925530,394221048,906338824,913255475,1982101514
129,1018916180,1325875785,2043263823,909833911,1581230011,1807616512
130,284957539,1891297097,1300964893,367282489,1815164085,1692989288
131,552606034,2075446491,2037149562,326837541,180183042,1867161457
132,951487827,570952257,914916353,2132095923,1571229055,1800225192
133,1036138728,1590847956,1432497104,676179276,872938254,1527469884
134,558400658,1379302804,2066187417,299732846,1575307797,985501060
135,1490908821,1011102498,1332986986,34357240,1660712198,2071677187
136,1187720227,2102690711,1538124791,1976833582,562464709,1553127313
137,1072153558,2146100079,722763539,1517794970,1919638556,662300315
138,1715989165,1431510711,303784423,2115913701,2108460636,2081410300
139,1921235278,2113072019,855572746,1037053999,1818954785,557125204
140,866808643,1514937265,2038236948,1632841474,103340593,390820764
141,148628105,879275501,1955911180,1952735787,23811613,951068248
142,1831875475,1479221091,385138423,993074458,757807803,1743730464
143,1674404853,1342205933,317708218,1343850673,2123762310,744123574
144,354637024,2100775142,298304093,1033399977,1802362668,678308232
145,1091635267,198701391,231425529,1145644235,169084565,1347357047
146,1519726918,607985182,1095347797,321961854,74208211,726721809
147,696677258,1907018885,326098625,420402918,1977771061,1487968240
148,1861492545,2051692278,57012818,1348795274,1662106944,362840533
149,1095881921,1247938073,1168460481,1392997894,1394889060,1834447636
150,351532040,2022542748,2022172375,572209086,1063180674,153000045
151,1534807893,1516496499,898140131,1936779386,1443022325,1593935185
152,673465150,1722693791,1949506852,1162404383,2143388299,1234426619
153,228807364,1073459095,980950690,1993300513,109736012,1103298051
154,251871123,1897299311,914336384,1721208480,839874022,1067229501
155,1166052666,935694374,1781294856,1783026095,669490877,1702271296
156,981852616,2032741213,1342880549,1358506080,944035206,259430967
157,43537646,2134217902,2135780801,147711325,1847897953,2110305348
158,1366703300,866202142,84036913,253399166,232615415,1176586523
159,1437358460,1338308828,1586794681,1042565392,1466104137,501327840
160,1828555384,1951524646,657635084,949098760,1932245243,1177791065
161,324082070,2004321498,1809865229,1776314785,1431531711,100604220
162,1494716222,1305130554,1520984435,2023679683,767506634,488194028
163,291180256,1944638724,1222501955,1195725025,1514927817,901315953
164,281667761,2038334042,257254222,562944688,1277737577,904014308
165,665522074,1784840418,1275399174,536210045,418886197,779225014
166,1208158581,1126963277,2062439167,270447476,223098411,155174278
167,1956945519,1775679166,548898369,1388421552,1708947413,1659554012
168,206483413,800249713,53847104,1789245822,1522811650,418304362
169,689223196,2034543482,32156497,600802804,1591653489,114277100
170,676234792,1492719510,402676626,1476936244,1536215098,2074222884
171,778210232,1813645856,773386642,263778218,1949181345,178895109
172,1202155548,1587186583,1674025130,1493333360,1630461173,155564601
173,2094831921,2073188052,1926688024,2026782351,1029210183,62295273
174,1069172302,564785934,313726180,249942697,449958529,208960779
175,1689185138,2090076385,103946786,1420704527,914291073,1851689649
176,849203455,1503565782,1320783884,1598601647,1134321420,1537947328
177,732122369,1930431470,999258902,802265801,893535017,496546724
178,1287978967,1549253008,1226179634,1754653867,923709018,805410049
179,233651760,1889805771,709547423,1333529897,1743173680,1611284425
180,19992916,986411650,1811288065,35091733,1319095047,766305540
181,857890733,2029762244,912172796,1513077461,1144927081,406541012
182,1316407542,1324509276,655762772,976019100,605749407,505796478
183,267345152,2117104922,1339655684,442919953,637239509,1166832743
184,788597369,2126064237,1617119811,461469014,672700828,69317670
185,88472277,1883384563,1924790990,1486950841,1340101094,410930905
186,1447792831,1924850911,845921692,977456690,1350245452,2067100808
187,847420880,1533845643,889125177,1427389048,1685596061,1036693859
188,584790424,1905332810,437416901,1181307582,1707528680,468136810
189,1893500736,1620683908,1224056103,317345926,1628241161,220918961
190,2122527489,1289620679,933750406,111064254,1379901255,2004066780
191,79623149,1498093477,2082317005,703350462,1002119674,1375462175
192,1640780896,2090706648,1062134222,1257449664,1360553519,2018040401
193,790245809,1906055782,1702546468,362494675,1576194132,1130649054
194,203424578,1375581326,1122578191,1808486674,237712468,1657014140
195,1212570554,1374137319,2142616293,85059194,66870974,1044425884
196,178929502,538864600,512741222,1414514319,737693375,610854124
197,2074246455,1872306967,1214278600,1653872586,1205246265,649261989
198,1673071577,1904151312,283585316,760369831,353612976,641515599
199,420580638,1562957867,2020625792,1624015810,1785939858,1497012892
200,1685061807,2022676288,419641163,1694406862,593104414,1239598328
201,1527871925,1183369454,1240299371,1179593895,1075959851,1744779223
202,874802754,299617994,662610304,1189383969,27623366,1987829963
203,1632787373,1723780495,111101194,79267108,427285538,245459128
204,1481953536,1701926385,1590416684,325121934,1652081860,861032122
205,551371039,1752133857,2012385938,1703923796,1872968017,199313372
206,1466586298,1929328670,1752286348,335427118,1675223890,31595914
207,1788767403,1918979536,865536113,1813975892,1523983592,1475957842
208,1716315284,785679423,228789892,853208126,515231674,1695068190
209,483456351,1115536937,434945709,363805804,1569055399,204625282
210,216727172,844325219,1896456907,468159460,1579836441,57688472
211,1244475075,1493091052,1276246385,631169397,1961096386,2114929771
212,496287794,28800431,1888634862,1536404183,1186600828,2040522546
213,1128021889,2113387404,1781025764,2056542936,390821562,1712244454
214,1296734234,2005580552,1671645601,629722210,996589116,1547722
215,1952350305,1743487018,1219917137,2068314491,1818264062,1538319466
216,1729207707,2112620151,368294881,1401930568,18010398,47617426
217,43349354,1923529068,1491318604,539336460,1224989721,1220175647
218,867594756,2105615257,838100026,2054389988,426612543,114665751
219,1587866729,1894929277,485883427,2027370633,1630673151,34157825
220,2076030482,1447036932,1848822742,1524103158,505960460,709218734
221,1890493014,1264594017,1363445639,366791990,1307892745,794102346
222,818183176,1038759588,1807658385,576539966,1564356912,1806837758
223,148336719,600691873,411395364,1638025723,840648333,181166477
224,651283751,1721613119,600485486,759589280,1786834124,1759450233
225,1104836088,930846128,1024415555,1992918430,2087901472,1973890577
226,933914250,2061372252,662609234,1164854219,323820130,728677374
227,998043926,1908351950,1552994775,1421316909,2068246541,143886899
228,2077698795,969716868,265578082,261390605,900244495,965328733
229,817251251,2045320250,483670727,693347014,1453824503,1355853440
230,260541631,2054274502,680331460,1572475986,1351480508,494785186
231,940833169,2096684067,509429408,653106014,199384066,1400733746
232,2121217690,1288795229,1897441610,1567639265,2138801227,1900899733
233,1278825030,1830057414,525710181,227672461,1005906215,788409306
234,745590115,792418707,378887441,1570716457,1816467476,1948176590
235,702001092,847078259,1918821682,2079518349,968671072,30023690
236,1150245919,1804699588,440492806,829469356,1764775762,266318
237,331062864,2113438840,1110597403,2026828590,2089239258,1310502767
238,1309690817,2145692677,685394054,1668326498,1848697227,1049434522
239,314343374,1481465379,310981072,1742851207,930668040,34703727
240,1697040299,1849180619,2054456897,1960501368,1956096984,991804582
241,2068558214,933742883,1764731871,33716842,2011973577,2038045125
242,1973897082,1652419619,1342130988,1354689331,1491893908,2046540395
243,284111479,1599700639,27198071,745520045,1372168799,646858452
244,514633067,1573366734,333471402,1937591177,725978177,574506290
245,1909432308,1879363185,2123557364,1245775857,26500272,1961525476
246,208810228,1267512454,1250919723,1985511384,1932580035,2002659526
247,1337760417,1256616733,1212822490,484805541,939154200,140445184
248,199823717,605507978,1219546612,16479807,1989937250,739303794
249,1341584630,1445288869,840175625,245373182,920525857,1721956072
250,114815798,1333251530,646848894,636312415,1753183451,2101581974
251,1765575998,1509703007,1932830198,1102200599,656141473,214427555
252,1082984616,1929483641,676674882,1497287569,2086389324,1544677849
253,555980015,311172693,1720460407,870169673,664156542,1012630764
254,608167506,1883539869,810364312,1868306050,1502340482,1655727048
255,752227636,2089864681,1682227467,553348149,320412996,512654546
256,1126713880,1985023966,1067117195,1675472398,312213908,871025848
257,434857558,1693055632,602033974,1898938328,1520161063,840870079
258,1504016440,959759280,1065161253,1932658635,1464086118,489045038
259,397921111,1682105271,816392821,485437820,401764746,761856647
260,956210313,329025841,398073570,1178576147,1366407068,1216266209
261,1361993852,2059635005,423330832,380722807,696809067,1966961395
262,1740860634,1998206704,1992348911,1916580279,87478455,753894803
263,2048556704,2134507313,1631254767,235304617,2026907108,1712112962
264,701165375,1528129805,1740945197,185061730,1259957425,2022978105
265,1611539905,1740447654,1347950658,1626637967,1769346967,1900535827
266,195125327,1989713148,2062054912,51336189,61094269,1221801693
267,31383875,1911076875,1997840972,1120543531,261062761,1176255744
268,955058990,1078944628,1898415870,280229648,1141092223,1391644685
269,1621056141,2088480862,1982602028,1807586792,1082754088,1651249093
270,2139336472,2143767635,1145517898,1567776134,981555758,2052490037
271,1864706623,2142925056,389975486,213594089,381775165,1012831150
272,1623818475,1903996510,779291605,343585232,1868910051,754564575
273,188491225,796557475,1301377610,1238885126,970281975,1478069306
274,1919193283,998135434,1163820919,257737747,910337078,2094632495
275,1081915760,1778879171,2066091163,240593543,868967779,745791462
276,500839567,256102387,674723974,1869878256,1037941033,166482570
277,1803324378,1919904270,13536214,1080060782,2054461087,2000932361
278,21419293,1272672632,444249711,1057170601,1283071530,7245300
279,991058196,1695357101,1754972716,1790871402,134527504,1748167109
280,2024458544,2100656863,1669169571,1848792929,840640133,880605424
281,1395020689,1916237144,1023923782,1456440640,1973412091,218774069
282,398959740,2050088586,309389779,1769681181,1827498948,665833263
283,1699746891,2074556812,456243757,1142768335,811070122,589934452
284,1721958179,2022162231,654968385,2092049948,492769449,1186621093
285,141217727,961108911,1033267033,902105115,492240765,1948518478
286,607804439,835942886,401065251,1043386368,959626114,134689896
287,406489655,1735523391,159896721,2025227143,1883288782,1816449011
288,104053866,1958488845,918549911,1679550840,1468699937,434200989
289,1967399000,962027929,1318905623,1489141162,13602491,795450200
290,147807719,1308343500,1972960557,1967679758,1164446915,1190121619
291,885728515,1884339316,2001219227,1257628114,1156552475,1449930386
292,749219442,2067546079,1167361270,1963389483,1594140302,1306896815
293,1947069302,1760732741,1383772021,345147941,1186791877,711184931
294,212982240,1865491290,782717113,1563944840,1195970335,35296188
295,861488851,2030889166,1191117241,1108178320,256441990,1941413480
296,1054986113,746224305,1719672777,2141104746,1940066218,2060514577
297,1954939312,1901930729,23950310,1452526765,294657243,103586963
298,1629431,1509444903,48975083,1767314041,1247905623,1889332248
299,1344852509,2049486049,931818026,908409341,1135217466,962408025
300,1092296776,1435677239,388292158,278005335,1688324226,643123918
301,1239173152,2071153405,1677473318,1086148321,2024855607,1339247315
302,117716654,1454340294,577294958,1692679336,1791760157,61359025
303,58875272,1167812994,1861544926,1122395366,1912190843,1531597205
304,847389731,1762215802,2116416880,758937329,1873242978,1693582566
305,1228680692,1805542806,2094340055,1453864896,906539360,1834049275
306,442320686,1999196964,631837273,92284510,350999455,905257351
307,979415432,1158742157,1906017976,612334291,1810504383,1685286141
308,509829367,2138798619,524629456,1221855600,1410422179,1639775098
309,1958263484,670702483,1400203711,1232002966,2110553853,1964290983
310,1548946165,1677650083,1163792017,1742643044,453498559,1527940314
311,242193116,2128309608,140590194,1804726950,2092869295,846435124
312,2928168,1793412648,712831303,1454551252,1608865131,57175797
313,1759160473,2034771386,755701382,703602001,326200308,558481561
314,636822509,273500579,1608548135,1524292238,545652166,565766144
315,978408781,1310310492,2029336773,1607276064,279351974,1251239726
316,1309902827,1392935477,897129773,249158706,1804317677,458154835
317,1958343496,1872136607,1321729322,1797931327,922034604,214953358
318,1116238123,1907409457,982338632,1599616158,769665978,1023000362
319,1565732103,1880758710,1501112475,1725529847,1122964735,1356180209
320,914871395,2025681839,134717078,307528764,2055585246,198766546
321,903391137,1439449529,34453119,1711254626,281037654,1788440215
322,790638145,1743971001,621532456,77555955,2001292306,1340502746
323,1962006458,986216229,1321196906,329712762,1670115057,246943918
324,1837417771,1754060343,508197600,331195025,1291255980,416107213
325,771119194,1787681794,870698210,2043449032,860782942,1551841326
326,360560123,2112547148,1173826613,2005006115,25205987,643114008
327,1390222045,1175392857,1308470910,644030454,448084825,566298603
328,691849092,1882073933,968498646,2145516864,8656312,1973846503
329,729325435,1968219445,346672462,1776697450,1614192248,1881555708
330,1568647614,1564284134,1892827814,1023064668,1088605013,386100597
331,2063065821,1872696680,161320212,299019966,264919326,593672867
332,991083160,1338375553,572501110,1315379933,119592851,618900777
333,1082012141,2129714671,414469250,1239901922,658010158,1196830542
334,858279524,2076683615,386965399,2074309965,1825552104,468444109
335,756385080,1623649945,1845607950,839440556,573785533,1085146158
336,2094714033,1727335269,12194673,390004415,876791414,1679225348
337,1821051595,2111756057,924385866,177349454,549689179,1941004918
338,1033419594,1477481533,67976996,1446989225,48087916,734037548
339,299585811,1295427745,705129430,982771781,792138748,1272302803
340,151803883,911803411,748591303,913798098,118420165,215528478
341,511032729,2103860345,1088666962,1782642063,455491865,1235402123
342,2063692117,1630735304,4246233,708127410,991986577,319873740
343,1158246318,1731293936,1526639089,660120166,2085028788,757129417
344,2118750180,505432125,1029344149,1164302589,562604262,1867487217
345,281250405,1894826511,378332229,1727383239,662303395,1831298194
346,1994167068,1011012223,1189286543,2089099610,1575747503,590844481
347,1631546300,2127137938,1376575845,729053960,1844292046,1807255014
348,1703660869,2129400494,926558538,593731173,535786339,1715204101
349,1675029281,2054792528,818099971,967145924,1199136072,1279596761
350,431629954,2123172560,751751372,343935925,1318612488,9777951
351,323166340,1077693896,1726338695,338452312,160835989,613738883
352,241186332,1800692060,1892629326,767694562,769346685,656685203
353,796581585,2016900678,114435099,1347111588,1718311040,1915765595
354,1094990000,1814900416,1982987833,2062231829,1959674767,361493821
355,247286389,2059621409,1415684799,1801143611,1549201306,1911524590
356,1047173393,1204950572,1289118221,1512750058,81664247,253448466
357,636770417,1456016102,1151828621,212212913,930570070,1590055352
358,611359496,2076930848,1167466772,87055539,735923512,475793835
359,213954342,1872518265,300713762,440486980,695908306,636133172
360,541184259,742680141,53508232,463056163,550869654,1703303569
361,1514284081,2019584695,79905494,29899059,388644182,1763636938
362,2105981012,1561348537,1700829101,1794045493,2033603328,730073967
363,228548566,1970989876,1600030594,1680676690,1509007423,452973438
364,644334747,806506481,2026456545,2558574,673250481,1727100705
365,676912936,1048190491,1837323028,2033648289,1664532602,1414900590
366,1300644551,1849014113,758211826,273472232,846153007,1907703314
367,1728701276,2063990580,276592145,1503198181,148216016,161434434
368,1367222317,2021170815,376796114,871685216,1048241465,2095132045
369,721024303,1668285687,710001750,1011558137,1441870419,408019821
370,296663184,1654274463,1369594079,1733341935,1973939434,869964371
371,807596668,1946283040,762041886,30768205,986463409,1089007824
372,228117037,2130093850,790047190,2102235599,2070584748,1597142515
373,1288834858,1721281245,766986727,1722098486,1915908749,1840079613
374,746176928,1539528220,1613425067,1658808694,548888874,384249890
375,1110764004,1487304011,1189352834,1461337138,408995450,775434105
376,1465022435,2038192682,696724139,1565003836,1851133518,1072225166
377,1461464175,1349183779,1750045623,506414021,244835743,1057983010
378,1499387475,1964422355,725648032,1072803938,1047553206,840185934
379,291450884,1723976236,121214018,2135007079,1737487298,1632745252
380,460250067,1839052976,1015387838,1190936317,1255462914,1933571137
381,1012655942,2047898739,663088517,1414998759,1106062140,1593954307
382,892203268,1282889306,772512492,1698725938,823673952,1046115262
383,1906892690,1482336688,2020683506,799625613,496767233,2103018470
384,25477629,1019473665,1282703455,483127504,1124861621,1792778761
